Country,Tax-to-GDP (%),GDP Growth (%)
Ethiopia,17.522259823891332,8.733333333333333
Rwanda,21.84937428440746,7.025
Tanzania,0.671406927194506,6.0578125
Ivory Coast,11.846720435296087,5.85
Senegal,22.584463067094294,5.6875
Togo,15.039428745669165,5.455
Ghana,1.5298516643733349,5.370625
Kenya,19.96243082555602,5.136666666666667
Botswana,13.921812801055957,4.3875
Egypt,20733.8638748981,3.6975
Nigeria,5.211299052415346,3.1635
Algeria,0.027125310822308235,2.58875
Angola,0.010523936458924318,2.45625
South Africa,55.36150436208511,1.2807499999999998
